"foraging robots"	"building robots"	"average estimate"	"average deviation"	"construction events"	"blocks in cache"	"average degree"
0	50	0	0	0	0	0
0	50	0	0	0	0	0
0	50	0	0	0	0	0
0	50	0	0	0	0	0
0	50	0	-0.05	0	0	0
0	50	0	-0.05	0	0	0.333333
0	50	0	-0.0416667	0	0	0.666667
0	50	0	-0.0458333	0	0	0.666667
0	50	0	-0.04375	0	0	0.666667
0	50	0	-0.0447933	0	0	0.666667
0	50	0	-0.029064	0	0	0.6
0	50	0	-0.0253917	0	0	0.666667
0	50	0	-0.0186037	0	0	0.625
0	50	0	-0.0167322	0	0	0.777778
0	50	0	-0.0167322	0	0	0.666667
0	50	0	-0.0167322	0	0	0.666667
0	50	0	-0.0167322	0	0	0.666667
0	50	0	-0.0167322	0	0	0.666667
0	50	0	-0.0167322	0	0	0.666667
0	50	0	-0.0170282	0	0	0.727273
0	50	0	-0.02445	0	0	0.909091
0	50	0	-0.02983	0	0	0.909091
0	50	0	-0.0288658	0	0	1
0	50	0	-0.0250664	0	0	1.27273
1	49	0	-0.0261927	0	0	1.27273
1	49	0	-0.0276191	0	0	1.27273
1	49	0	-0.034419	0	0	1.2
2	48	0	-0.0385273	0	0	0.909091
2	48	0	-0.0439991	0	0	0.909091
2	48	0	-0.0435355	0	0	0.909091
2	48	0	-0.0426318	0	0	0.909091
2	48	0	-0.0413791	0	0	0.909091
2	48	0	-0.0417218	0	0	0.909091
2	48	0	-0.0418208	0	0	1
2	48	0	-0.04119	0	0	1.23077
2	48	0	-0.0366793	0	0	1.28571
3	47	0	-0.0375586	0	0	1.28571
3	47	0	-0.0397667	0	0	1.33333
3	47	0	-0.03766	0	0	1.4375
3	47	0	-0.0405138	0	0	1.5
3	47	0	-0.041145	0	0	1.5
3	47	0	-0.0404113	0	0	1.5
3	47	0	-0.0377682	0	0	1.41176
3	47	0	-0.0380111	0	0	1.38889
3	47	0	-0.0382717	0	0	1.44444
3	47	0	-0.0412283	0	0	1.33333
3	47	0	-0.0405822	0	0	1.33333
3	47	0	-0.0424633	0	0	1.33333
3	47	0	-0.0483056	0	0	1.22222
3	47	0	-0.0466067	0	0	1.27778
4	46	0	-0.0501911	0	0	1.22222
4	46	0	-0.0517411	0	0	1.11111
4	46	0	-0.0540333	0	0	1.11111
4	46	0	-0.0604411	0	0	1.11111
4	46	0	-0.0605478	0	0	1.22222
4	46	0	-0.0592484	0	0	1.21053
4	46	0	-0.0614211	0	0	1.26316
4	46	0	-0.061101	0	0	1.3
4	46	0	-0.0601362	0	0	1.38095
4	46	0	-0.0596157	0	0	1.42857
4	46	0	-0.0574204	0	0	1.43478
4	46	0	-0.0618765	0	0	1.56522
4	46	0	-0.0635458	0	0	1.58333
4	46	0	-0.0649183	0	0	1.75
4	46	0	-0.0666317	0	0	1.75
4	46	0	-0.0669575	0	0	1.75
4	46	0	-0.0689652	0	0	1.73913
5	45	0	-0.0690952	0	0	1.65217
5	45	0	-0.0686422	0	0	1.65217
5	45	0	-0.0702283	0	0	1.65217
5	45	0	-0.0710596	0	0	1.73913
5	45	0	-0.0707848	0	0	1.73913
5	45	0	-0.0710939	0	0	1.73913
5	45	0	-0.0709078	0	0	1.73913
5	45	0	-0.0708578	0	0	1.73913
5	45	0	-0.0723222	0	0	1.73913
5	45	0	-0.0752487	0	0	1.73913
5	45	0	-0.0743417	0	0	1.83333
5	45	0	-0.072663	0	0	1.91304
6	44	0	-0.0743519	0	0	1.80952
8	42	0	-0.07077	0	0	1.54545
9	41	0	-0.0715287	0	0	1.34783
9	41	0	-0.0731641	0	0	1.36364
10	40	0	-0.0730395	0	0	1.27273
10	40	0	-0.0742395	0	0	1.36364
10	40	0	-0.0749477	0	0	1.36364
10	40	0	-0.0776196	0	0	1.26087
10	40	0	-0.0799539	0	0	1.3913
10	40	0	-0.0816164	0	0	1.27273
11	39	0	-0.0824777	0	0	1.18182
11	39	0	-0.0831673	0	0	1.27273
11	39	0	-0.0829159	0	0	1.27273
11	39	0	-0.0835136	0	0	1.27273
11	39	0	-0.0842995	0	0	1.27273
11	39	0	-0.0847929	0	0	1.2381
12	38	0	-0.0847195	0	0	1.14286
12	38	0	-0.0847748	0	0	1.14286
12	38	0	-0.0850957	0	0	1.14286
12	38	0	-0.0828374	0	0	1.26087
12	38	0	-0.0823143	0	0	1.47826
12	38	0	-0.0837322	0	0	1.47826
12	38	0	-0.0837557	0	0	1.47826
12	38	0	-0.0850339	0	0	1.47826
12	38	0	-0.0866787	0	0	1.47826
12	38	0	-0.087043	0	0	1.47826
12	38	0	-0.0866926	0	0	1.47826
12	38	0	-0.086723	0	0	1.47826
12	38	0	-0.0874557	0	0	1.47826
12	38	0	-0.0879917	0	0	1.47826
12	38	0	-0.0881652	0	0	1.47826
12	38	0	-0.0870925	0	0	1.45833
12	38	0	-0.0860421	0	0	1.5
12	38	0	-0.0867313	0	0	1.5
12	38	0	-0.0862904	0	0	1.58333
12	38	0	-0.0863842	0	0	1.58333
12	38	0	-0.0846612	0	0	1.64
12	38	0	-0.0835676	0	0	1.76
12	38	0	-0.084904	0	0	1.68
12	38	0	-0.0832573	0	0	1.69231
12	38	0	-0.0836065	0	0	1.76923
12	38	0	-0.0843019	0	0	1.76923
12	38	0	-0.0828119	0	0	1.74074
12	38	0	-0.0835404	0	0	1.77778
12	38	0	-0.0850663	0	0	1.7037
12	38	0	-0.0849915	0	0	1.77778
11	39	0	-0.08492	0	0.0016	1.77778
11	39	0	-0.0853574	0	0.0016	1.77778
11	39	0	-0.0858863	0	0.0016	1.85185
11	39	0	-0.0852412	0	0.0016	1.92308
12	38	0	-0.085845	0	0.0016	1.84615
12	38	0	-0.086134	0	0.0016	1.88
13	37	0	-0.0863928	0	0.0016	1.84
13	37	0	-0.0864444	0	0.0016	1.76
12	38	0	-0.0864468	0	0.0032	1.76
12	38	0	-0.086842	0	0.0032	1.68
12	38	0	-0.0872476	0	0.0032	1.68
12	38	0	-0.0875212	0	0.0032	1.68
12	38	0	-0.0842216	0	0.0032	1.56
13	37	0	-0.0840624	0	0.0032	1.44
